Using good policy maddpg and adv policy maddpg
Starting iterations...
steps: 5000, episodes: 10, mean episode reward: -6.537096683722669, time: 280.337
steps: 210000, episodes: 420, mean episode reward: -6.282556409541191, time: 280.794
steps: 215000, episodes: 430, mean episode reward: -6.539847194329721, time: 280.788
steps: 220000, episodes: 440, mean episode reward: -6.5895914431035125, time: 281.452
steps: 225000, episodes: 450, mean episode reward: -6.886970190079198, time: 281.344
steps: 230000, episodes: 460, mean episode reward: -6.868628543974728, time: 281.06
steps: 235000, episodes: 470, mean episode reward: -6.86220446805159, time: 280.967
steps: 240000, episodes: 480, mean episode reward: -6.876299711116978, time: 281.078
steps: 245000, episodes: 490, mean episode reward: -6.8120730508222405, time: 280.605
steps: 250000, episodes: 500, mean episode reward: -6.9051593616224, time: 281.038
steps: 255000, episodes: 510, mean episode reward: -6.359396514620633, time: 281.22
steps: 260000, episodes: 520, mean episode reward: -5.978709897034014, time: 281.366
steps: 265000, episodes: 530, mean episode reward: -6.26745772563763, time: 281.114
steps: 270000, episodes: 540, mean episode reward: -6.706299070453376, time: 281.669
steps: 275000, episodes: 550, mean episode reward: -7.185773205632678, time: 281.376
steps: 280000, episodes: 560, mean episode reward: -5.840607185171978, time: 281.416
steps: 285000, episodes: 570, mean episode reward: -6.463072877828727, time: 281.062
steps: 290000, episodes: 580, mean episode reward: -7.401279924895431, time: 281.379
steps: 295000, episodes: 590, mean episode reward: -6.542628462019023, time: 281.108
steps: 300000, episodes: 600, mean episode reward: -6.436100100485727, time: 281.858
steps: 305000, episodes: 610, mean episode reward: -6.968780875952087, time: 281.163
steps: 310000, episodes: 620, mean episode reward: -6.282229408725614, time: 281.063
steps: 315000, episodes: 630, mean episode reward: -5.881659260224166, time: 281.641
steps: 320000, episodes: 640, mean episode reward: -5.438418453821479, time: 281.192
steps: 325000, episodes: 650, mean episode reward: -7.117249578189686, time: 281.06
steps: 330000, episodes: 660, mean episode reward: -6.585741799781692, time: 281.317
steps: 335000, episodes: 670, mean episode reward: -7.2576672257118675, time: 281.294
steps: 340000, episodes: 680, mean episode reward: -6.595444866828748, time: 281.262
steps: 345000, episodes: 690, mean episode reward: -6.712745963669169, time: 281.474
steps: 350000, episodes: 700, mean episode reward: -6.319608771997956, time: 281.046
steps: 355000, episodes: 710, mean episode reward: -7.225965881153053, time: 280.924
steps: 360000, episodes: 720, mean episode reward: -7.122490103722119, time: 281.176
steps: 365000, episodes: 730, mean episode reward: -5.963386937964379, time: 281.476
steps: 370000, episodes: 740, mean episode reward: -6.471393957038856, time: 281.69
steps: 375000, episodes: 750, mean episode reward: -7.165443731470984, time: 281.378
steps: 380000, episodes: 760, mean episode reward: -6.472894446304499, time: 281.406
steps: 385000, episodes: 770, mean episode reward: -6.827082145747575, time: 281.572
steps: 390000, episodes: 780, mean episode reward: -6.110262830015573, time: 281.558
steps: 395000, episodes: 790, mean episode reward: -6.734042568619533, time: 281.16
steps: 400000, episodes: 800, mean episode reward: -6.55364801537817, time: 281.392
steps: 405000, episodes: 810, mean episode reward: -6.296179150055545, time: 281.916
steps: 410000, episodes: 820, mean episode reward: -6.6405369772242695, time: 282.033
steps: 415000, episodes: 830, mean episode reward: -7.327526955887389, time: 281.577
steps: 420000, episodes: 840, mean episode reward: -6.2381227736075555, time: 281.44
steps: 425000, episodes: 850, mean episode reward: -6.743497428663896, time: 281.09
steps: 430000, episodes: 860, mean episode reward: -7.189121079008172, time: 281.46
steps: 435000, episodes: 870, mean episode reward: -6.443983689842495, time: 281.324
steps: 440000, episodes: 880, mean episode reward: -6.66417644721844, time: 281.409
steps: 445000, episodes: 890, mean episode reward: -7.3192330097479585, time: 281.466
steps: 450000, episodes: 900, mean episode reward: -7.182800875233896, time: 281.349
steps: 455000, episodes: 910, mean episode reward: -6.689563722564043, time: 280.985
steps: 460000, episodes: 920, mean episode reward: -7.1935309014136255, time: 281.784
steps: 465000, episodes: 930, mean episode reward: -6.550588866599808, time: 281.379
...Finished total of 938 episodes.
