Using good policy maddpg and adv policy maddpg
Starting iterations...
steps: 4221, episodes: 10, mean episode reward: -103.37248093697094, time: 37.466
steps: 336937, episodes: 790, mean episode reward: -105.07661046480303, time: 40.004
steps: 340786, episodes: 800, mean episode reward: -104.19900077986003, time: 35.093
steps: 344615, episodes: 810, mean episode reward: -102.7540233164519, time: 36.247
steps: 349201, episodes: 820, mean episode reward: -104.59003679012442, time: 40.975
steps: 353793, episodes: 830, mean episode reward: -104.07104523558598, time: 42.128
steps: 358793, episodes: 840, mean episode reward: -105.59129822121754, time: 42.22
steps: 363107, episodes: 850, mean episode reward: -104.55024650547861, time: 39.681
steps: 367686, episodes: 860, mean episode reward: -104.2259239371941, time: 40.791
steps: 371041, episodes: 870, mean episode reward: -104.14255005395759, time: 33.293
steps: 375042, episodes: 880, mean episode reward: -104.90252587556822, time: 36.591
steps: 378874, episodes: 890, mean episode reward: -104.80347248719272, time: 35.129
steps: 383504, episodes: 900, mean episode reward: -102.94564102272477, time: 41.76
steps: 388504, episodes: 910, mean episode reward: -104.18007919960341, time: 43.845
steps: 390796, episodes: 920, mean episode reward: -103.95548883271006, time: 25.697
steps: 395047, episodes: 930, mean episode reward: -106.7394589857859, time: 37.727
...Finished total of 938 episodes.
